scene_idx,scene_id,algo,snr_db,K,modulation,gain_err_dB,phase_err_deg,mutual_coupling,position_err_pct,rmspe_deg,elapsed_s,true_deg,est_deg
995,995,music,-4.391878128051758,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,46.334408765112656,0.0004689999623224139,-45.0444;-21.6074;-2.4599,+2.4733;+21.7191;+45.5559
980,980,music,-1.8796405792236328,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,12.64471633209761,0.00046558293979614973,-35.3484;+39.3256;+43.4758,-42.1887;+35.0052;+63.8280
910,910,music,-4.432567119598389,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,38.80924714673873,0.0004695829702541232,-7.7244;+11.2401;+52.8288,-52.5208;-11.2252;+8.0285
2,2,music,-7.930710792541504,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,31.024011449172914,0.00046962499618530273,-44.6551;-35.7295;+0.0798,-37.8048;+0.0716;+39.5617
372,372,music,13.459556579589844,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,10.656309639247512,0.000470208004117012,-45.5329;+5.0273;+56.0557,-57.0976;-5.1651;+45.9045
597,597,music,3.9614269733428955,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,59.359949983005855,0.0004693330265581608,+29.2437;+32.9744;+42.2320,-40.9113;-30.4816;+1.9529
703,703,music,13.30625057220459,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,70.22487823409371,0.0004703750601038337,+30.0460;+38.0599;+51.7484,-51.7620;-34.1134;-2.0386
403,403,music,-8.3298978805542,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,53.908031811181445,0.0004683330189436674,-55.2447;-18.8801;-6.0104,+5.9392;+18.7129;+53.6680
71,71,music,19.57215690612793,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,49.12268766947518,0.0004692081129178405,-40.4650;-17.6587;-14.3694,+14.3717;+17.4433;+40.4019
719,719,music,15.68574047088623,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,75.83539311589053,0.00046850007493048906,-47.1534;-39.8806;-27.0508,+26.6159;+39.9309;+46.7138
270,270,music,10.296781539916992,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,15.536715213122772,0.0004718339769169688,-22.9604;+4.2900;+41.0977,-40.5984;-4.2390;+22.6497
216,216,music,-0.6603320240974426,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,7.850643072131565,0.0004689159104600549,-23.5526;-3.0634;+15.1574,-14.9992;+3.1886;+23.6809
383,383,music,14.702503204345703,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,13.836900255244656,0.0004693749360740185,+1.3271;+7.8027;+12.1145,-12.3357;-7.1330;-0.7165
514,514,music,15.05291748046875,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,84.66692875158053,0.0004675410455092788,+29.6483;+43.1042;+54.6599,-54.8893;-41.5997;-30.0993
577,577,music,14.940329551696777,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,32.24759649376598,0.00046904198825359344,-39.1771;-23.5779;+17.9936,-17.9645;+23.5272;+39.2272
839,839,music,8.759566307067871,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,34.31028623696044,0.0004687909968197346,-15.4634;+10.9689;+54.4000,-54.2924;-11.2075;+15.2580
905,905,music,-1.4856107234954834,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,51.34422143380895,0.0004710420034825802,-2.3236;+18.1757;+59.4788,-59.8224;-18.2792;+2.2633
